﻿"* MH (Multifield Hourly Data Format)"
********************************************************************************
"* Users Information:"
"* (column:1~6)stno: station number (8~17)yyyymmddhh: date of record (18~24): observation data"
"* all observation uses local time=UTC+08:00"
"* yyyy: year"
"* mm: month"
"* dd: day"
"* hh: hour"
********************************************************************************
"* CD01 High Cloud Height(Km)"
"* CD02 Medium Cloud Height(Km)"
"* CD03 Low Cloud Height(Km)"
"* CD04 High Cloud Amount(0-10)"
"* CD05 Medium Cloud Amount(0-10)"
"* CD06 Low Cloud Amount(0-10)"
"* CD07 High Cloud Form"
"* CD08 Medium Cloud Form"
"* CD09 Low Cloud Form"
"* CD10 Ceiling(Km)"
"* CD11 Total Cloud Amount(0-10)"
"* EP03 Class A Pan Evaporation(mm)"
"* PP01 Precipitation(mm)"
"* PP02 Precipitation Hours(hr)"
"* PS01 Station Pressure(hPa)"
"* PS02 Sea Level Pressure(hPa)"
"* RH01 Relative Humidity(%)"
"* RH02 Vapor Pressure(hPa)"
"* ST01 State of the Sky"
"* ST02 State of the Ground"
"* ST03 Thunderstorm"
"* ST04 Liquid Precipitation Type 1"
"* ST05 Liquid Precipitation Type 2"
"* ST06 Solid Precipitation Type 1"
"* ST07 Solid Precipitation Type 2"
"* ST08 Solid Precipitation Type 3"
"* ST09 Obscuration Type 1"
"* ST10 Obscuration Type 2"
"* ST11 Photometeors Type 1"
"* ST12 Photometeors Type 2"
"* SS01 Sunshine Duration(hr)"
"* SS02 Global Solar Radiation(MJ/㎡)"
"* SS03 Net Radiation(MJ/㎡)"
"* TS01 Surface Temperature(℃)"
"* TS02 Temperature at Depth of 5cm(℃)"
"* TS03 Temperature at Depth of 10cm(℃)"
"* TS04 Temperature at Depth of 20cm(℃)"
"* TS05 Temperature at Depth of 30cm(℃)"
"* TS06 Temperature at Depth of 50cm(℃)"
"* TS07 Temperature at Depth of 100cm(℃)"
"* TX01 Temperature(℃)"
"* TX02 Absolute Maximum Temperature(℃)"
"* TX03 Absolute Minimum Temperature(℃)"
"* TX04 Wet Bulb Temperature(℃)"
"* TX05 Dew Point Temperature(℃)"
"* VS01 Visibility(Km)"
"* WD01 Wind Speed(m/s)"
"* WD02 Wind Direction(360 degree)"
"* WD03 Maximum Wind Speed(m/s)"
"* WD04 Maximum Wind Direction(360 degree)"
"* WD05 Gust(m/s)"
"* WD06 Gust Direction(360 degree)"
********************************************************************************
"* special code of record:"
"* -9991: instrument malfunction"
"* -9996: data aggregated later"
"* -9997: data unavailable/failure for unknown reason"
"* -9998: Trace"
"* -9999: no observation"
********************************************************************************
# stno, yyyymmddhh,     PS01,     PS02,     TX01,     TD01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01,     PP02,     SS01,     GR01,     VS01,     UV01,     CD11,     TS01,     TS02,     TS03,     TS04,     TS05,     TS06,     TS07
466990, 2024100101,   1003.8,   1006.0,     23.9,     23.4,       97,      2.8,    280.0,     10.2,    200.0,     15.5,      0.8,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024100102,   1003.6,   1005.8,     23.7,     23.2,       97,      3.3,    200.0,      7.0,    220.0,      1.5,      0.5,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024100103,   1003.0,   1005.2,     23.6,     22.9,       96,      2.4,    260.0,      5.2,    200.0,     -9.8,      0.9,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024100104,   1001.9,   1004.1,     23.3,     22.8,       97,      3.7,    220.0,      7.1,    210.0,     -9.8,      0.1,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024100105,   1002.6,   1004.8,     23.4,     22.7,       96,      4.4,    220.0,      7.6,    210.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     23.9,     24.0,     24.5,     25.1,     26.4,     27.7,     29.8
466990, 2024100106,   1003.2,   1005.4,     23.4,     22.7,       96,      3.8,    250.0,      7.8,    240.0,      0.0,      0.0,      0.0,     0.01,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024100107,   1003.9,   1006.1,     24.0,     23.0,       94,      6.4,    220.0,      9.1,    210.0,      0.0,      0.0,      0.1,     0.18,     None,     0.17,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024100108,   1004.7,   1006.9,     24.8,     23.1,       90,      4.2,    220.0,      9.3,    220.0,     -9.8,      0.2,      0.0,      0.5,     20.0,     0.87,     10.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024100109,   1004.4,   1006.6,     27.5,     24.4,       83,      3.7,    240.0,      7.5,    220.0,      0.0,      0.0,      0.4,      1.2,     25.0,     2.68,      8.0,     24.8,     24.4,     24.7,     25.0,     26.3,     27.6,     29.6
466990, 2024100110,   1004.3,   1006.5,     28.8,     23.9,       75,      3.1,    250.0,      6.1,    210.0,      0.0,      0.0,      0.5,     2.08,     None,     5.62,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024100111,   1004.5,   1006.7,     28.5,     24.7,       80,      3.1,    210.0,      6.0,    220.0,      0.0,      0.0,      0.1,     1.45,     20.0,     5.04,     10.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024100112,   1003.4,   1005.6,     29.1,     24.0,       74,      5.2,    230.0,      9.7,    220.0,      0.0,      0.0,      0.3,     1.94,     None,     6.97,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024100113,   1002.7,   1004.9,     28.7,     24.3,       77,      5.3,    230.0,      9.3,    230.0,     -9.8,      0.1,      0.0,     1.15,     None,     4.64,     None,     None,     None,     None,     None,     None,     None,     None
