測站代碼,測站名稱,要素名稱,起始時間,結束時間,實際資料筆數,應有資料筆數,資料存續%
72T250,花蓮農改場,測站氣壓(hPa),2024/09/01/00,2024/10/01/23,744,744,100%
72T250,花蓮農改場,海平面氣壓(hPa),2024/09/01/00,2024/10/01/23,744,744,100%
72T250,花蓮農改場,乾球氣溫(℃),2024/09/01/00,2024/10/01/23,744,744,100%
72T250,花蓮農改場,平均露點溫度(℃),2024/09/01/00,2024/10/01/23,744,744,100%
72T250,花蓮農改場,平均相對濕度( %),2024/09/01/00,2024/10/01/23,744,744,100%
72T250,花蓮農改場,平均風風速(m/s),2024/09/01/00,2024/10/01/23,744,744,100%
72T250,花蓮農改場,平均風風向(360°),2024/09/01/00,2024/10/01/23,744,744,100%
72T250,花蓮農改場,瞬間極大風風速(m/s),2024/09/01/00,2024/10/01/23,744,744,100%
72T250,花蓮農改場,瞬間極大風風向(360°),2024/09/01/00,2024/10/01/23,744,744,100%
72T250,花蓮農改場,累積雨量(mm),2024/09/01/00,2024/10/01/23,744,744,100%
72T250,花蓮農改場,日照時數(hr),2024/09/01/00,2024/10/01/23,744,744,100%
72T250,花蓮農改場,全天空日射量(MJ/㎡),2024/09/01/00,2024/10/01/23,744,744,100%
72T250,花蓮農改場,地中溫度0cm(℃),2024/09/01/00,2024/10/01/23,744,744,100%
72T250,花蓮農改場,地中溫度5cm(℃),2024/09/01/00,2024/10/01/23,744,744,100%
72T250,花蓮農改場,地中溫度10cm(℃),2024/09/01/00,2024/10/01/23,744,744,100%
72T250,花蓮農改場,地中溫度20cm(℃),2024/09/01/00,2024/10/01/23,744,744,100%
72T250,花蓮農改場,地中溫度50cm(℃),2024/09/01/00,2024/10/01/23,744,744,100%
72T250,花蓮農改場,地中溫度100cm(℃),2024/09/01/00,2024/10/01/23,744,744,100%
72T250,花蓮農改場,地中溫度30cm(℃),2024/09/01/00,2024/10/01/23,0,744,0%
