﻿"* MH (Multifield Hourly Data Format)"
********************************************************************************
"* Users Information:"
"* (column:1~6)stno: station number (8~17)yyyymmddhh: date of record (18~24): observation data"
"* all observation uses local time=UTC+08:00"
"* yyyy: year"
"* mm: month"
"* dd: day"
"* hh: hour"
********************************************************************************
"* CD01 High Cloud Height(Km)"
"* CD02 Medium Cloud Height(Km)"
"* CD03 Low Cloud Height(Km)"
"* CD04 High Cloud Amount(0-10)"
"* CD05 Medium Cloud Amount(0-10)"
"* CD06 Low Cloud Amount(0-10)"
"* CD07 High Cloud Form"
"* CD08 Medium Cloud Form"
"* CD09 Low Cloud Form"
"* CD10 Ceiling(Km)"
"* CD11 Total Cloud Amount(0-10)"
"* EP03 Class A Pan Evaporation(mm)"
"* PP01 Precipitation(mm)"
"* PP02 Precipitation Hours(hr)"
"* PS01 Station Pressure(hPa)"
"* PS02 Sea Level Pressure(hPa)"
"* RH01 Relative Humidity(%)"
"* RH02 Vapor Pressure(hPa)"
"* ST01 State of the Sky"
"* ST02 State of the Ground"
"* ST03 Thunderstorm"
"* ST04 Liquid Precipitation Type 1"
"* ST05 Liquid Precipitation Type 2"
"* ST06 Solid Precipitation Type 1"
"* ST07 Solid Precipitation Type 2"
"* ST08 Solid Precipitation Type 3"
"* ST09 Obscuration Type 1"
"* ST10 Obscuration Type 2"
"* ST11 Photometeors Type 1"
"* ST12 Photometeors Type 2"
"* SS01 Sunshine Duration(hr)"
"* SS02 Global Solar Radiation(MJ/㎡)"
"* SS03 Net Radiation(MJ/㎡)"
"* TS01 Surface Temperature(℃)"
"* TS02 Temperature at Depth of 5cm(℃)"
"* TS03 Temperature at Depth of 10cm(℃)"
"* TS04 Temperature at Depth of 20cm(℃)"
"* TS05 Temperature at Depth of 30cm(℃)"
"* TS06 Temperature at Depth of 50cm(℃)"
"* TS07 Temperature at Depth of 100cm(℃)"
"* TX01 Temperature(℃)"
"* TX02 Absolute Maximum Temperature(℃)"
"* TX03 Absolute Minimum Temperature(℃)"
"* TX04 Wet Bulb Temperature(℃)"
"* TX05 Dew Point Temperature(℃)"
"* VS01 Visibility(Km)"
"* WD01 Wind Speed(m/s)"
"* WD02 Wind Direction(360 degree)"
"* WD03 Maximum Wind Speed(m/s)"
"* WD04 Maximum Wind Direction(360 degree)"
"* WD05 Gust(m/s)"
"* WD06 Gust Direction(360 degree)"
********************************************************************************
"* special code of record:"
"* -9991: instrument malfunction"
"* -9996: data aggregated later"
"* -9997: data unavailable/failure for unknown reason"
"* -9998: Trace"
"* -9999: no observation"
********************************************************************************
# stno, yyyymmddhh,     PS01,     TX01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01
C0Z100, 2024010101,     None,     None,     None,     None,     None,      3.7,     48.0,      0.0
C0Z100, 2024010102,     None,     None,     None,     None,     None,      4.8,     53.0,      0.0
C0Z100, 2024010103,     None,     None,     None,     None,     None,      4.8,      9.0,      0.0
C0Z100, 2024010104,     None,     None,     None,     None,     None,      3.9,     18.0,      0.0
C0Z100, 2024010105,     None,     None,     None,     None,     None,      3.3,     62.0,      0.0
C0Z100, 2024010106,     None,     None,     None,     None,     None,      3.2,     12.0,      0.0
C0Z100, 2024010107,     None,     None,     None,     None,     None,      1.6,    342.0,      0.0
C0Z100, 2024010108,     None,     None,     None,     None,     None,      2.2,    244.0,      0.0
C0Z100, 2024010109,     None,     None,     None,     None,     None,      2.7,    294.0,      0.0
C0Z100, 2024010110,     None,     None,     None,     None,     None,      1.8,    116.0,      0.0
C0Z100, 2024010111,     None,     None,     None,     None,     None,      4.1,     43.0,      0.0
C0Z100, 2024010112,     None,     None,     None,     None,     None,      2.9,     53.0,      0.0
C0Z100, 2024010113,     None,     None,     None,     None,     None,      3.9,     82.0,      0.0
C0Z100, 2024010114,     None,     None,     None,     None,     None,      4.7,    324.0,      0.0
C0Z100, 2024010115,     None,     None,     None,     None,     None,      2.5,    301.0,      0.0
C0Z100, 2024010116,     None,     None,     None,     None,     None,      3.2,    302.0,      0.0
C0Z100, 2024010117,     None,     None,     None,     None,     None,      2.3,    296.0,      0.0
C0Z100, 2024010118,     None,     None,     None,     None,     None,      1.8,    290.0,      0.0
C0Z100, 2024010119,     None,     None,     None,     None,     None,      1.0,    201.0,      0.0
C0Z100, 2024010120,     None,     None,     None,     None,     None,      0.6,    191.0,      0.0
C0Z100, 2024010121,     None,     None,     None,     None,     None,      0.9,    214.0,      0.0
C0Z100, 2024010122,     None,     None,     None,     None,     None,      0.8,    105.0,      0.0
C0Z100, 2024010123,     None,     None,     None,     None,     None,      1.2,    218.0,      0.0
C0Z100, 2024010124,     None,     None,     None,     None,     None,      0.7,    217.0,      0.0
C0Z100, 2024010201,     None,     None,     None,     None,     None,      0.4,    217.0,      0.0
C0Z100, 2024010202,     None,     None,     None,     None,     None,      0.9,    218.0,      0.0
C0Z100, 2024010203,     None,     None,     None,     None,     None,      0.6,    217.0,      0.0
C0Z100, 2024010204,     None,     None,     None,     None,     None,      0.9,    217.0,      0.0
C0Z100, 2024010205,     None,     None,     None,     None,     None,      0.3,    218.0,      0.0
C0Z100, 2024010206,     None,     None,     None,     None,     None,      0.7,    218.0,      0.0
C0Z100, 2024010207,     None,     None,     None,     None,     None,      0.3,    218.0,      0.0
C0Z100, 2024010208,     None,     None,     None,     None,     None,      1.3,    219.0,      0.0
