﻿"* MH (Multifield Hourly Data Format)"
"* 以 '*' 字元開頭的文字為格式說明"
"* 以 '#' 字元開頭的文字為氣象資料欄位標題列7個字元一組"
********************************************************************************
"* 格式說明:"
"* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位"
"* 1~6        8~17              第18個字元開始每個氣象要素(欄位)7個字元"
"* 時間為當地時間(LocalTime)"
"* yyyy:西元年"
"* mm:月"
"* dd:日"
"* hh:時"
********************************************************************************
"* 欄位標題說明:"
"* CD01 高雲高度(km)"
"* CD02 中雲高度(km)"
"* CD03 低雲高度(km)"
"* CD04 高雲量(10分量)"
"* CD05 中雲量(10分量)"
"* CD06 低雲量(10分量)"
"* CD07 高雲狀"
"* CD08 中雲狀"
"* CD09 低雲狀"
"* CD10 雲冪高(km)"
"* CD11 總雲量(10分量)"
"* EP05 A型蒸發量(mm)"
"* GR01 全天空日射量(MJ/㎡)"
"* PP01 降水量(mm)"
"* PP02 降水時數(hour)"
"* PS01 測站氣壓(hPa)"
"* PS02 海平面氣壓(hPa)"
"* PS11 氣壓趨勢"
"* RH01 相對溼度(%)"
"* SS01 日照時數(hour)"
"* ST01 天空狀況"
"* ST02 地面狀況"
"* ST03 雷暴"
"* ST04 液態降水1"
"* ST05 液態降水2"
"* ST06 固態降水1"
"* ST07 固態降水2"
"* ST08 固態降水3"
"* ST09 視障1"
"* ST10 視障2"
"* ST11 光象1"
"* ST12 光象2"
"* TD01 露點溫度(℃)"
"* TS01 地表溫度0cm(℃)"
"* TS02 地中溫度5cm(℃)"
"* TS03 地中溫度10cm(℃)"
"* TS04 地中溫度20cm(℃)"
"* TS05 地中溫度30cm(℃)"
"* TS06 地中溫度50cm(℃)"
"* TS07 地中溫度100cm(℃)"
"* TW01 溼球溫度(℃)"
"* TX01 氣溫(℃)"
"* TX02 絕對最高氣溫(℃)"
"* TX04 絕對最低氣溫(℃)"
"* VP01 水氣壓(hPa)"
"* VP06 飽和水氣壓(hPa)"
"* VS01 能見度(km)"
"* WD01 平均風風速(m/s)"
"* WD02 平均風風向(360 degree)"
"* WD04 最大平均風風速(m/s)"
"* WD05 最大平均風風向(360 degree)"
"* WD07 最大瞬間風風速(m/s)"
"* WD08 最大瞬間風風向(360 degree)"
"* UV01 紫外線指數"
********************************************************************************
"* 特殊值:"
"* -999.1:儀器故障待修"
"* -9.6/-999.6:資料累計於後"
"* -9.5/-99.5/-999.5/-999.5/-9999.5:因故障而無資料"
"* -9.7/-99.7/-999.7/-999.7/-9999.7:因不明原因而無資料"
"* -9.8:雨跡(Trace)"
"* None:未觀測而無資料"
********************************************************************************
# stno, yyyymmddhh,     PS01,     TX01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01
C0Z100, 2024110101,    994.7,     24.8,       97,      1.1,    240.0,      3.2,    223.0,      0.5
C0Z100, 2024110102,    995.4,     24.4,       99,      0.4,    226.0,      2.8,    249.0,      0.0
C0Z100, 2024110103,    995.9,     24.2,      100,      0.0,      0.0,      0.8,    224.0,      0.0
C0Z100, 2024110104,    996.5,     24.2,       99,      0.4,    220.0,      2.8,    251.0,      0.0
C0Z100, 2024110105,    996.9,     24.9,       93,      0.6,    240.0,      4.6,    210.0,      0.0
C0Z100, 2024110106,    998.0,     24.5,       96,      1.1,    217.0,      4.3,    206.0,      0.0
C0Z100, 2024110107,    999.4,     24.1,       99,      0.0,      0.0,      3.7,    228.0,      0.5
C0Z100, 2024110108,   1000.3,     24.8,      100,      0.0,      0.0,      0.8,    229.0,      0.0
C0Z100, 2024110109,   1001.3,     25.8,       95,      0.3,    204.0,      1.5,    221.0,      0.0
C0Z100, 2024110110,   1001.7,     26.7,       90,      0.6,    227.0,      2.3,    226.0,      0.0
C0Z100, 2024110111,   1001.7,     29.2,       80,      0.9,    243.0,      3.0,    243.0,      0.0
C0Z100, 2024110112,   1001.3,     32.1,       69,      0.1,      0.0,      3.3,    243.0,      0.0
C0Z100, 2024110113,   1001.2,     32.9,       67,      0.3,    194.0,      1.9,    247.0,      0.0
C0Z100, 2024110114,   1001.1,     31.5,       72,      0.1,      0.0,      1.7,    193.0,      0.0
C0Z100, 2024110115,   1001.3,     31.7,       74,      0.6,    194.0,      1.6,    193.0,      0.0
C0Z100, 2024110116,   1002.0,     29.7,       80,      0.9,     24.0,      3.4,     12.0,      0.0
C0Z100, 2024110117,   1003.1,     27.2,       87,      0.8,     33.0,      4.2,     11.0,      0.0
C0Z100, 2024110118,   1003.8,     26.5,       89,      1.0,     31.0,      4.4,     28.0,      0.0
C0Z100, 2024110119,   1004.8,     26.3,       87,      1.7,     27.0,      4.8,      3.0,      0.0
C0Z100, 2024110120,   1006.1,     25.8,       93,      1.7,     22.0,      6.5,     14.0,      0.0
C0Z100, 2024110121,   1006.8,     25.6,       95,      1.7,     18.0,      6.2,     30.0,      0.0
C0Z100, 2024110122,   1008.0,     25.4,       97,      0.4,     19.0,      4.8,     28.0,      0.0
C0Z100, 2024110123,   1008.5,     25.3,       97,      0.9,     21.0,      3.2,     24.0,      0.0
C0Z100, 2024110124,   1008.7,     25.0,       97,      0.5,     15.0,      3.5,     27.0,      0.0
C0Z100, 2024110201,   1009.2,     25.0,       97,      0.4,     16.0,      2.8,     28.0,      0.0
C0Z100, 2024110202,   1009.3,     24.7,       98,      0.0,      0.0,      1.8,    360.0,      0.0
C0Z100, 2024110203,   1009.6,     24.3,       99,      0.0,      0.0,      1.3,     18.0,      0.0
C0Z100, 2024110204,   1009.9,     24.0,      100,      0.0,      0.0,      0.9,     38.0,      0.0
