"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1017.8","19.2","99","0.0","0","0.6","319","0.0","0.00"
"02","1017.4","19.2","99","0.0","0","0.0","0","0.0","0.00"
"03","1017.3","19.3","99","0.0","0","0.4","320","0.0","0.00"
"04","1016.7","19.3","100","0.0","0","0.7","319","0.0","0.00"
"05","1017.5","19.2","100","0.0","0","0.2","0","0.0","0.00"
"06","1018.4","19.2","100","0.0","0","0.5","319","0.0","0.00"
"07","1019.0","19.6","100","0.0","0","0.5","320","0.0","0.00"
"08","1019.1","21.0","94","0.0","0","0.0","0","0.0","0.30"
"09","1019.4","23.1","83","0.4","351","1.3","16","0.0","0.60"
"10","1018.9","25.4","68","0.3","63","2.9","303","0.0","1.40"
"11","1018.1","26.3","66","1.8","68","4.3","103","0.0","2.60"
"12","1017.5","25.6","70","1.7","63","4.8","91","0.0","2.60"
"13","1016.4","25.4","75","1.4","66","4.5","50","0.0","1.20"
"14","1015.9","23.7","78","1.0","56","4.3","91","0.0","1.10"
"15","1015.9","23.2","82","0.9","61","3.3","40","0.0","0.30"
"16","1016.2","22.9","84","0.4","6","2.6","61","0.0","0.10"
"17","1016.7","22.1","92","0.0","0","1.2","332","0.0","0.00"
"18","1016.9","21.1","96","0.0","0","0.0","0","0.0","0.00"
"19","1017.4","20.8","96","0.0","0","0.0","0","0.0","0.00"
"20","1017.4","20.7","98","0.0","0","0.0","0","0.0","0.00"
"21","1017.4","20.7","99","0.0","0","0.6","325","0.0","0.00"
"22","1017.3","20.7","99","0.0","0","1.2","198","0.0","0.00"
"23","1017.1","20.7","99","0.0","0","0.8","190","0.0","0.00"
"24","1016.8","20.2","100","0.0","0","1.1","53","0.0","0.00"
