Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux)
20240102090001,0.4241781,1014.6537,28.40639,51.913437,67587.07
20240102091001,0.5112707,1014.66864,32.29978,45.37874,78676.13
20240102092001,0.5112707,1014.5677,33.361786,43.10255,86016.44
20240102093001,0.5112707,1014.4541,33.830475,41.848404,90376.31
20240102094001,0.5613257,1014.83435,33.34077,39.341106,97586.83
20240102095001,0.5613257,1013.87744,33.96406,37.744305,102062.63
20240102100001,0.5670641,1014.2039,35.50568,36.05693,103060.59
20240102101001,0.5670641,1014.0168,35.849113,34.81716,103399.34
20240102102001,0.5670641,1013.8784,36.48252,33.60148,105890.02
20240102103001,0.5670641,1013.87103,36.836395,32.866814,107393.79
20240102104001,0.8432262,1013.1941,38.24681,29.933273,110197.18
20240102105001,0.8432262,1013.2848,38.12603,29.407156,107514.19
20240102110001,0.86412406,1013.0163,37.47165,29.458523,111352.87
20240102111001,0.86412406,1012.8861,37.33272,29.138046,110771.38
20240102112001,0.86412406,1012.7293,37.25888,29.396809,110269.84
20240102113001,0.86412406,1012.57,36.98405,29.588146,110955.38
20240102114001,1.0427288,1011.8243,38.598793,27.803415,113986.96
20240102115001,1.0427288,1011.8921,38.402317,27.928452,110209.94
20240102120001,1.0430925,1011.73303,38.046505,28.889774,112151.984
20240102121001,1.0430925,1011.63574,37.862812,30.013863,108554.96
20240102122001,1.0430925,1011.4552,37.573315,30.692766,105877.99
20240102123001,1.0430925,1011.26825,37.2529,31.453363,104396.22
20240102124001,1.819674,1010.4512,36.170643,32.70076,98829.47
20240102125001,1.819674,1010.9952,35.963123,33.008114,91548.195
20240102130001,1.8278748,1010.7004,34.360683,34.172974,69912.08
20240102131001,1.8233997,1010.4658,34.038246,35.36537,50164.97
20240102132001,1.8233997,1010.482,33.662277,36.06069,44383.07
20240102133001,1.8233997,1010.2689,33.233246,37.020523,41968.688
20240102134001,1.658451,1010.9269,29.672628,44.72447,27651.455
20240102135001,1.658451,1009.17114,29.486162,45.351757,24725.994
20240102140001,1.7254658,1010.3933,28.1029,46.386967,20877.096
20240102141001,1.7254658,1010.50244,27.849016,47.486385,19001.48
20240102142001,1.7254658,1010.96655,27.60092,48.58457,17136.834
20240102143001,1.7254658,1010.68195,27.327864,49.482994,14443.939
20240102144001,1.4708736,1010.1949,26.20001,51.54352,12031.088
20240102145001,1.4708736,1009.54236,26.142159,52.071613,11760.551
20240102150001,1.4726201,1009.97424,25.862162,52.514084,11073.699
20240102151001,1.4726201,1010.0478,25.693213,53.354717,10428.197
20240102152001,1.4726201,1009.8077,25.563477,53.501343,8943.978
20240102153001,1.4726201,1009.5782,25.40514,53.99904,9105.237
20240102154001,1.0972357,1010.0347,23.878126,58.662262,5233.8823
20240102155001,1.0972357,1009.7088,23.90033,58.63652,5724.3804
20240102160001,1.1242036,1010.1666,23.574945,58.70381,4917.725
20240102161001,1.1242036,1010.3272,23.543936,59.228725,3911.1604
20240102162001,1.1242036,1010.3585,23.349213,60.502747,2208.2712
20240102163001,1.1242036,1010.1863,23.250502,61.364967,1939.914
20240102164001,0.76300466,1009.9596,22.622393,64.705444,2060.4067
20240102165001,0.76300466,1010.566,22.531912,65.12482,2209.6218
20240108090001,0.38324872,1017.07294,24.276161,68.48027,21089.453
20240108091001,0.38324872,1017.01013,25.106556,65.62735,23012.037
20240108092001,0.38324872,1016.9303,25.672955,63.876568,23015.412
20240108093001,0.38324872,1016.76465,26.11538,62.77645,25781.861
20240108094001,0.4753508,1016.65216,24.27271,65.07813,31803.045
20240108095001,0.4753508,1016.8855,24.717876,63.634758,34599.98
20240108100001,0.47177026,1016.9024,25.386368,61.41426,33993.566
20240108101001,0.47177026,1016.7892,25.955301,59.81859,34570.37
20240108102001,0.47177026,1016.6363,26.504341,58.213417,36433.15
20240108103001,0.47177026,1016.3787,26.90165,56.898296,35507.895
20240108104001,0.23900765,1015.75165,28.28701,52.672688,34367.45
20240108105001,0.23900765,1015.94385,28.796072,50.77063,36135.895
20240108110001,0.23951642,1015.61273,29.526869,49.093845,36534.953
20240108111001,0.23951642,1015.4951,29.896347,47.81878,36301.996
20240108112001,0.23951642,1015.3487,30.268702,46.391624,31100.613
20240108113001,0.23951642,1015.09424,30.388939,45.575127,32659.223
20240108114001,0.28820765,1014.43896,31.551958,44.187576,54681.75
20240108115001,0.28820765,1014.63837,31.584242,44.105843,57924.84
20240108120001,0.28979403,1014.4784,31.359873,44.390312,46394.26
20240108121001,0.28979403,1014.35583,31.172775,44.868443,45873.066
20240108122001,0.28979403,1014.19055,31.063,45.076164,43668.67
20240108123001,0.28979403,1013.9089,30.851522,45.54275,44025.742
20240108124001,0.7312779,1012.99115,30.653934,46.10769,57772.082
20240108125001,0.7312779,1013.4157,30.5785,46.320953,61482.11
20240108130001,0.7324418,1013.1408,29.891422,46.8436,51351.92
20240108131001,0.7324418,1013.1245,29.690416,47.739532,47272.676
20240108132001,0.7324418,1012.902,29.50984,48.637413,44423.52
20240108133001,0.7324418,1012.5249,29.244398,49.3033,43024.7
20240108134001,0.6461666,1012.2866,30.213768,47.26527,67412.984
20240108135001,0.6461666,1012.55426,30.115042,47.512245,70409.53
20240108140001,0.6183556,1012.42035,29.396425,48.476288,46065.223
20240108141001,0.6183556,1012.5872,29.115412,49.606358,44159.395
20240108142001,0.6183556,1012.4218,28.803492,50.935677,38828.836
20240108143001,0.6183556,1012.24493,28.468628,51.670948,36864.48
20240108144001,0.65585536,1012.01886,28.656178,51.322308,34791.727
20240108145001,0.65585536,1012.26624,28.574879,51.74771,34850.63
