iter	Passed	Remaining
0	96	96591
1	127	63525
2	145	48378
3	148	36987
4	154	30761
5	157	26027
6	159	22642
7	204	25321
8	224	24748
9	232	22994
10	235	21203
11	267	22039
12	276	21006
13	290	20461
14	299	19637
15	327	20151
16	330	19132
17	338	18447
18	389	20110
19	391	19193
20	400	18678
21	403	17942
22	409	17381
23	432	17589
24	441	17207
25	448	16801
26	450	16224
27	469	16306
28	490	16429
29	494	15991
30	513	16042
31	515	15587
32	534	15653
33	537	15278
34	544	15011
35	560	15014
36	579	15087
37	605	15334
38	611	15074
39	615	14766
40	630	14740
41	648	14792
42	670	14918
43	676	14698
44	692	14688
45	695	14425
46	710	14412
47	715	14191
48	721	13994
49	743	14130
50	749	13948
51	755	13772
52	782	13974
53	791	13860
54	820	14096
55	843	14212
56	846	14003
57	859	13955
58	908	14494
59	912	14289
60	924	14230
61	941	14248
62	959	14264
63	991	14504
64	996	14334
65	999	14149
66	1028	14328
67	1055	14470
68	1059	14296
69	1074	14279
70	1079	14121
71	1096	14138
72	1117	14188
73	1121	14034
74	1135	14001
75	1140	13866
76	1142	13694
77	1145	13538
78	1151	13421
79	1162	13373
80	1174	13329
81	1179	13202
82	1184	13081
83	1221	13323
84	1230	13249
85	1239	13169
86	1271	13341
87	1277	13234
88	1297	13280
89	1301	13154
90	1303	13023
91	1326	13090
92	1328	12960
93	1336	12880
94	1351	12870
95	1356	12772
96	1380	12854
97	1412	12996
98	1416	12889
99	1430	12870
100	1488	13248
101	1508	13278
102	1511	13163
103	1524	13138
104	1537	13102
105	1552	13096
106	1556	12993
107	1558	12874
108	1622	13264
109	1640	13272
110	1675	13418
111	1688	13389
112	1692	13282
113	1717	13344
114	1739	13387
115	1743	13290
116	1765	13324
117	1771	13240
118	1777	13157
119	1781	13063
120	1797	13056
121	1810	13029
122	1829	13044
123	1834	12957
124	1883	13182
125	1885	13078
126	1919	13192
127	1928	13141
128	1940	13102
129	1963	13137
130	1964	13034
131	1969	12951
132	1980	12907
133	1999	12923
134	2016	12923
135	2040	12964
136	2058	12965
137	2063	12886
138	2070	12827
139	2075	12747
140	2079	12671
141	2083	12587
142	2086	12502
143	2092	12441
144	2098	12374
145	2102	12295
146	2124	12325
147	2129	12260
148	2134	12188
149	2146	12162
150	2148	12079
151	2150	11996
152	2154	1153	2153	2168	1154	2716	14807
155	2742	14838
156	2773	14889
157	2785	14845
158	2807	14849
159	2832	14872
160	2840	14802
161	2857	14781
162	2869	14733
163	2880	14682
164	2886	14606
165	2893	14535
166	2900	14468
167	2922	14471
168	2925	14384
169	2953	14419
170	2992	14505
171	3024	14558
172	3034	14507
173	3061	14535
174	3068	14464
175	3096	14498
176	3100	14416
177	3119	14405
178	3135	14380
179	3164	14414
180	3179	14389
181	3188	14330
182	3210	14334
183	3233	14340
184	3247	14308
185	3250	14226
186	3253	14144
187	3275	14147
188	3297	14147
189	3338	14230
190	3346	14176
191	3368	14176
192	3403	14231
193	3410	14167
194	3432	14169
195	3498	14349
196	3529	14387
197	3541	14345
198	3557	14320
199	3589	14357
200	3604	14328
201	3631	14347
202	3653	14342
203	3655	14263
204	3667	14221
205	3671	14151
206	3678	14093
207	3686	14036
208	3735	14137
209	3800	14295
210	3815	14267
211	3819	14198
212	3862	14272
213	3866	14201
214	3884	14184
215	3918	14221
216	3921	14151
217	3927	14089
218	3936	14037
219	3982	14120
220	3988	14060
221	4027	14112
222	4046	14100
223	4050	14032
224	4089	14085
225	4116	14097
226	4137	14088
227	4141	14024
228	4156	13994
229	4163	13937
230	4181	13921
231	4184	13853
232	4188	13786
233	4205	13766
234	4211	13709
235	4223	13673
236	4251	13686
237	4260	13640
238	4279	13626
239	4288	13578
240	4312	13582
241	4318	13525
242	4357	13575
243	4362	13517
244	4371	13472
245	4379	13424
246	4414	13457
247	4438	13457
248	4465	13468
249	4468	13405
250	4493	13409
251	4516	13406
252	4526	13365
253	4573	13430
254	4593	13419
255	4601	13373
256	4632	13391
257	4653	13382
258	4676	13378
259	4699	13374
260	4704	13321
261	4727	13316
262	4735	13268
263	4774	13311
264	4779	13255
265	4781	13195
266	4786	13140
267	4811	13141
268	4833	13135
269	4855	13127
270	4869	13099
271	4873	13043
272	4890	13023
273	4894	12967
274	4899	12916
275	4920	12907
276	4941	12896
277	4948	12852
278	4954	12803
279	4962	12759
280	4967	12709
281	5005	12744
282	5009	12692
283	5019	12654
284	5030	12619
285	5052	12614
286	5066	12587
287	5084	12569
288	5097	12540
289	5212	12761
290	5217	12713
291	5260	12754
292	5278	12737
293	5287	12697
294	5296	12657
295	5299	12603
296	5321	12595
297	5336	12571
298	5340	12521
299	5346	12475
300	5367	12464
301	5409	12503
302	5428	12487
303	5435	12443
304	5445	12407
305	5465	12396
306	5468	12344
307	5507	12372
308	5532	12371
309	5550	12353
310	5555	12308
311	5579	12302
312	5593	12276
313	5612	12262
314	5635	12255
315	5638	12205
316	5660	12196
317	5674	12169
318	5683	12133
319	5716	12146
320	5732	12125
321	5736	12077
322	5740	12032
323	5743	11983
324	5796	12038
325	5815	12024
326	5828	11996
327	5845	11976
328	5875	11982
329	5899	11978
330	5916	11958
331	5944	11959
332	5949	11916
333	5966	11897
334	5984	11878
335	6014	11885
336	6025	11854
337	6029	11809
338	6034	11766
339	6043	11730
340	6079	11749
341	6088	11715
342	6102	11689
343	6124	11678
344	6159	11693
345	6177	11676
346	6186	11642
347	6221	11657
348	6225	11613
349	6272	11648
350	6307	11662
351	6320	11635
352	6348	11635
353	6355	11597
354	6378	11588
355	6392	11564
356	6398	11525
357	6406	11488
358	6410	11446
359	6413	11402
360	6479	11469
361	6485	11430
362	6526	11453
363	6564	11469
364	6568	11426
365	6592	11419
366	6617	11413
367	6622	11372
368	6625	11330
369	6631	11290
370	6657	11287
371	6667	11256
372	6681	11230
373	6691	11199
374	6704	11173
375	6727	11164
376	6757	11166
377	6792	11177
378	6819	11173
379	6843	11166
380	6853	11134
381	6873	11119
382	6879	11082
383	6905	11078
384	6920	11054
385	6935	11032
386	6967	11037
387	6970	10995
388	6992	10983
389	7029	10994
390	7049	10979
391	7076	10975
392	7094	10958
393	7108	10933
394	7118	10902
395	7123	10865
396	7138	10843
397	7158	10827
398	7162	10787
399	7167	10751
400	7174	10717
401	7179	10679
402	7192	10655
403	7219	10650
404	7224	10614
405	7241	10594
406	7261	10579
407	7282	10566
408	7288	10531
409	7325	10541
410	7348	10530
411	7361	10506
412	7386	10497
413	7390	10461
414	7407	10441
415	7421	10418
416	7441	10403
417	7461	10388
418	7467	10354
419	7486	10338
420	7506	10323
421	7511	10287
422	7527	10267
423	7534	10234
424	7554	10221
425	7560	10186
426	7575	10165
427	7581	10131
428	7585	10096
429	7610	10087
430	7617	10057
431	7638	10043
432	7656	10025
433	7675	10010
434	7687	9985
435	7706	9968
436	7716	9941
437	7722	9909
438	7728	9876
439	7738	9848
440	7754	9828
441	7794	9839
442	7827	9841
443	7830	9806
444	7837	9774
445	7854	9757
446	7878	9746
447	7890	9722
448	7896	9690
449	7900	9655
450	7913	9632
451	7934	9619
452	7946	9594
453	7963	9576
454	7977	9555
455	7990	9532
456	8002	9508
457	8008	9477
458	8017	9449
459	8034	9431
460	8058	9421
461	8066	9393
462	8083	9375
463	8108	9366
464	8113	9335
465	8122	9307
466	8145	9296
467	8171	9288
468	8192	9275
469	8227	9277
470	8248	9264
471	8274	9255
472	8282	9227
473	8315	9227
474	8333	9210
475	8337	9177
476	8340	9144
477	8346	9114
478	8355	9087
479	8357	9054
480	8360	9020
481	8363	8988
482	8393	8984
483	8408	8964
484	8411	8932
485	8423	8909
486	8440	8891
487	8456	8871
488	8462	8843
489	8482	8828
490	8489	8800
491	8496	8773
492	8510	8751
493	8525	8732
494	8542	8714
495	8549	8687
496	8585	8688
497	8589	8658
498	8612	8646
499	8620	8620
500	8636	8601
501	8662	8593
502	8667	8563
503	8683	8545
504	8686	8514
505	8715	8508
506	8728	8487
507	8736	8461
508	8746	8437
509	8781	8437
510	8814	8435
511	8818	8405
512	8830	8382
513	8862	8379
514	8891	8373
515	8900	8348
516	8923	8337
517	8939	8318
518	8968	8312
519	8974	8283
520	8980	8256
521	8996	8237
522	9020	8227
523	9046	8218
524	9064	8201
525	9086	8187
526	9092	8161
527	9103	8137
528	9130	8129
529	9140	8106
530	9172	8101
531	9179	8075
532	9214	8073
533	9225	8051
534	9238	8029
535	9241	8000
536	9245	7971
537	9247	7941
538	9250	7911
539	9254	7883
540	9257	7854
541	9262	7826
542	9270	7802
543	9306	7800
544	9316	7777
545	9322	7751
546	9328	7725
547	9352	7713
548	9360	7689
549	9413	7701
550	9426	7681
551	9441	7662
552	9447	7636
553	9458	7614
554	9463	7587
555	9476	7567
556	9482	7541
557	9486	7514
558	9508	7501
559	9523	7482
560	9537	7463
561	9545	7439
562	9568	7427
563	9586	7410
564	9650	7429
565	9662	7408
566	9694	7403
567	9705	7381
568	9729	7370
569	9742	7349
570	9801	7363
571	9804	7336
572	9825	7322
573	9852	7312
574	9879	7302
575	9916	7299
576	9936	7284
577	9971	7280
578	9990	7263
579	9994	7237
580	10016	7223
581	10045	7214
582	10062	7197
583	10073	7175
584	10104	7168
585	10127	7154
586	10151	7142
587	10168	7124
588	10179	7103
589	10216	7099
590	10220	7073
591	10227	7048
592	10248	7034
593	10262	7014
594	10268	6989
595	10277	6966
596	10284	6942
597	10309	6930
598	10327	6913
599	10345	6897
600	10363	6880
601	10367	6854
602	10388	6839
603	10409	6824
604	10414	6799
605	10420	6775
606	10452	6767
607	10470	6750
608	10479	6728
609	10493	6708
610	10497	6683
611	10512	6665
612	10525	6644
613	10538	6625
614	10542	6599
615	10557	6581
616	10574	6564
617	10591	6546
618	10596	6522
619	10601	6497
620	10608	6474
621	10618	6452
622	10627	6431
623	10643	6413
624	10657	6394
625	10665	6372
626	10681	6354
627	10693	6334
628	10700	6311
629	10724	6298
630	10729	6274
631	10732	6249
632	10737	6225
633	10750	6206
634	10758	6184
635	10762	6159
636	10767	6136
637	10785	6119
638	10794	6098
639	10812	6081
640	10823	6062
641	10832	6040
642	10836	6016
643	10843	5994
644	10849	5971
645	10867	5955
646	10874	5932
647	10878	5909
648	10888	5888
649	10892	5865
650	10905	5846
651	10925	5831
652	10933	5809
653	10936	5786
654	10943	5763
655	10953	5743
656	10956	5720
657	10960	5696
658	10972	5677
659	10976	5654
660	10981	5632
661	10988	5610
662	10995	5589
663	11002	5567
664	11005	5543
665	11014	5523
666	11020	5501
667	11022	5478
668	11026	5455
669	11030	5432
670	11034	5410
671	11041	5389
672	11045	5366
673	11050	5345
674	11055	5323
675	11058	5300
676	11060	5277
677	11068	5256
678	11075	5235
679	11079	5213
680	11084	5192
681	11087	5169
682	11091	5147
683	11096	5126
684	11100	5104
685	11105	5083
686	11112	5063
687	11119	5042
688	11134	5025
689	11139	5004
690	11143	4983
691	11147	4961
692	11151	4940
693	11161	4921
694	11164	4899
695	11168	4878
696	11182	4861
697	11193	4843
698	11216	4829
699	11221	4809
700	11232	4791
701	11243	4772
702	11247	4751
703	11255	4732
704	11269	4715
705	11273	4694
706	11280	4675
707	11286	4654
708	11295	4635
709	11297	4614
710	11300	4593
711	11303	4572
712	11306	4551
713	11310	4530
714	11315	4510
715	11332	4494
716	11336	4474
717	11341	4454
718	11354	4437
719	11358	4417
720	11374	4401
721	11378	4381
722	11383	4361
723	11390	4342
724	11395	4322
725	11401	4303
726	11412	4285
727	11417	4265
728	11428	4248
729	11433	4228
730	11443	4211
731	11450	4192
732	11453	4172
733	11458	4152
734	11461	4132
735	11465	4112
736	11472	4094
737	11479	4075
738	11484	4056
739	11503	4041
740	11507	4022
741	11515	4004
742	11537	3990
743	11539	3970
744	11551	3953
745	11571	3940
746	11582	3922
747	11594	3906
748	11599	3887
749	11605	3868
750	11623	3853
751	11627	3834
752	11632	3815
753	11637	3796
754	11657	3782
755	11661	3763
756	11666	3744
757	11682	3729
758	11685	3710
759	11688	3691
760	11691	3671
761	11697	3653
762	11701	3634
763	11705	3615
764	11717	3599
765	11722	3581
766	11726	3562
767	11733	3544
768	11742	3527
769	11767	3515
770	11773	3497
771	11778	3478
772	11791	3462
773	11794	3443
774	11813	3429
775	11816	3411
776	11830	3395
