﻿"* MH (Multifield Hourly Data Format)"
********************************************************************************
"* Users Information:"
"* (column:1~6)stno: station number (8~17)yyyymmddhh: date of record (18~24): observation data"
"* all observation uses local time=UTC+08:00"
"* yyyy: year"
"* mm: month"
"* dd: day"
"* hh: hour"
********************************************************************************
"* CD01 High Cloud Height(Km)"
"* CD02 Medium Cloud Height(Km)"
"* CD03 Low Cloud Height(Km)"
"* CD04 High Cloud Amount(0-10)"
"* CD05 Medium Cloud Amount(0-10)"
"* CD06 Low Cloud Amount(0-10)"
"* CD07 High Cloud Form"
"* CD08 Medium Cloud Form"
"* CD09 Low Cloud Form"
"* CD10 Ceiling(Km)"
"* CD11 Total Cloud Amount(0-10)"
"* EP03 Class A Pan Evaporation(mm)"
"* PP01 Precipitation(mm)"
"* PP02 Precipitation Hours(hr)"
"* PS01 Station Pressure(hPa)"
"* PS02 Sea Level Pressure(hPa)"
"* RH01 Relative Humidity(%)"
"* RH02 Vapor Pressure(hPa)"
"* ST01 State of the Sky"
"* ST02 State of the Ground"
"* ST03 Thunderstorm"
"* ST04 Liquid Precipitation Type 1"
"* ST05 Liquid Precipitation Type 2"
"* ST06 Solid Precipitation Type 1"
"* ST07 Solid Precipitation Type 2"
"* ST08 Solid Precipitation Type 3"
"* ST09 Obscuration Type 1"
"* ST10 Obscuration Type 2"
"* ST11 Photometeors Type 1"
"* ST12 Photometeors Type 2"
"* SS01 Sunshine Duration(hr)"
"* SS02 Global Solar Radiation(MJ/㎡)"
"* SS03 Net Radiation(MJ/㎡)"
"* TS01 Surface Temperature(℃)"
"* TS02 Temperature at Depth of 5cm(℃)"
"* TS03 Temperature at Depth of 10cm(℃)"
"* TS04 Temperature at Depth of 20cm(℃)"
"* TS05 Temperature at Depth of 30cm(℃)"
"* TS06 Temperature at Depth of 50cm(℃)"
"* TS07 Temperature at Depth of 100cm(℃)"
"* TX01 Temperature(℃)"
"* TX02 Absolute Maximum Temperature(℃)"
"* TX03 Absolute Minimum Temperature(℃)"
"* TX04 Wet Bulb Temperature(℃)"
"* TX05 Dew Point Temperature(℃)"
"* VS01 Visibility(Km)"
"* WD01 Wind Speed(m/s)"
"* WD02 Wind Direction(360 degree)"
"* WD03 Maximum Wind Speed(m/s)"
"* WD04 Maximum Wind Direction(360 degree)"
"* WD05 Gust(m/s)"
"* WD06 Gust Direction(360 degree)"
********************************************************************************
"* special code of record:"
"* -9991: instrument malfunction"
"* -9996: data aggregated later"
"* -9997: data unavailable/failure for unknown reason"
"* -9998: Trace"
"* -9999: no observation"
********************************************************************************
# stno, yyyymmddhh,     PS01,     PS02,     TX01,     TD01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01,     PP02,     SS01,     GR01,     VS01,     UV01,     CD11,     TS01,     TS02,     TS03,     TS04,     TS05,     TS06,     TS07
466990, 2024010101,   1020.2,   1022.5,     19.1,     13.5,       70,      5.5,     40.0,     11.6,     20.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024010102,   1019.9,   1022.2,     18.7,     13.1,       70,      6.6,     50.0,     12.3,     30.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024010103,   1019.5,   1021.8,     18.6,     12.4,       67,      6.2,     40.0,     12.8,     50.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024010104,   1019.3,   1021.6,     18.7,     12.0,       65,      6.4,     40.0,     11.9,     50.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024010105,   1019.4,   1021.7,     18.6,     11.7,       64,      4.9,     40.0,     12.4,     50.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     17.8,     18.5,     19.2,     19.7,     20.8,     21.6,     22.5
466990, 2024010106,   1020.1,   1022.4,     18.7,     11.5,       63,      7.3,     40.0,     11.0,     30.0,      0.0,      0.0,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024010107,   1020.7,   1023.0,     18.8,     11.9,       64,      5.6,     50.0,     11.4,     80.0,      0.0,      0.0,      0.0,     0.01,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024010108,   1021.4,   1023.7,     18.7,     12.2,       66,      6.6,     40.0,     12.0,     50.0,      0.0,      0.0,      0.0,     0.07,     10.0,     0.07,     10.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024010109,   1021.9,   1024.2,     18.8,     11.9,       64,      6.1,     40.0,     12.7,     50.0,      0.0,      0.0,      0.0,     0.19,     10.0,     0.35,     10.0,     17.6,     18.2,     18.8,     19.3,     20.5,     21.4,     22.5
466990, 2024010110,   1021.9,   1024.2,     19.2,     12.3,       64,      6.0,     40.0,     12.0,     40.0,      0.0,      0.0,      0.0,     0.47,     None,      1.1,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024010111,   1021.5,   1023.8,     19.2,     12.0,       63,      5.1,     40.0,     11.9,     40.0,      0.0,      0.0,      0.0,     0.57,     12.0,     1.61,     10.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024010112,   1020.3,   1022.6,     19.3,     12.3,       64,      5.9,     60.0,     10.7,     40.0,      0.0,      0.0,      0.0,     0.56,     None,     1.67,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024010113,   1019.5,   1021.8,     19.2,     12.2,       64,      5.7,     50.0,     10.9,    100.0,      0.0,      0.0,      0.0,     0.62,     None,     1.72,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024010114,   1018.9,   1021.2,     18.9,     12.2,       65,      6.5,     50.0,     10.8,     40.0,      0.0,      0.0,      0.0,     0.22,     12.0,      0.6,     10.0,     18.0,     18.5,     19.1,     19.2,     20.2,     21.2,     22.5
466990, 2024010115,   1018.7,   1021.0,     19.1,     12.2,       64,      5.7,     60.0,     10.5,     70.0,      0.0,      0.0,      0.0,     0.22,     None,     0.49,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024010116,   1019.2,   1021.5,     18.8,     12.6,       67,      3.4,     30.0,     12.2,     30.0,      0.0,      0.0,      0.0,     0.16,     None,     0.26,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024010117,   1019.9,   1022.2,     18.8,     12.3,       66,      3.8,     20.0,      9.7,     30.0,      0.0,      0.0,      0.0,     0.03,     10.0,     0.04,     10.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024010118,   1020.2,   1022.5,     18.0,     13.3,       74,      1.4,    310.0,      7.2,     20.0,      0.0,      0.0,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024010119,   1020.6,   1022.9,     17.9,     13.0,       73,      2.0,    310.0,      3.7,    300.0,      0.0,      0.0,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024010120,   1020.6,   1022.9,     18.1,     12.8,       71,      2.0,    310.0,      3.3,    310.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024010121,   1020.5,   1022.8,     18.1,     12.6,       70,      0.8,    310.0,      2.9,    310.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     17.6,     18.1,     18.7,     19.0,     20.1,     21.1,     22.5
466990, 2024010122,   1020.5,   1022.8,     17.4,     13.5,       78,      1.6,    260.0,      2.8,    300.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024010123,   1020.3,   1022.6,     17.0,     13.5,       80,      2.0,    250.0,      3.0,    240.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024010124,   1019.7,   1022.0,     17.1,     13.4,       79,      1.4,    260.0,      3.4,    260.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024010201,   1019.3,   1021.6,     16.9,     13.4,       80,      2.0,    240.0,      3.0,    250.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024010202,   1019.0,   1021.3,     17.1,     13.4,       79,      1.8,    270.0,      3.6,    240.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024010203,   1018.5,   1020.8,     16.7,     13.4,       81,      1.4,    260.0,      3.4,    250.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024010204,   1017.9,   1020.2,     15.9,     13.2,       84,      2.2,    280.0,      3.8,    270.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024010205,   1017.8,   1020.1,     15.5,     13.2,       86,      2.2,    270.0,      3.8,    280.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     16.4,     17.2,     18.0,     18.5,     19.7,     20.8,     22.4
466990, 2024010206,   1018.3,   1020.6,     15.0,     12.5,       85,      2.8,    250.0,      4.0,    250.0,      0.0,      0.0,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024010207,   1018.5,   1020.8,     15.2,     12.2,       82,      2.0,    260.0,      4.9,    250.0,      0.0,      0.0,      0.0,     0.02,     None,     0.01,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024010208,   1018.8,   1021.1,     16.5,     12.7,       78,      2.3,    250.0,      3.9,    260.0,      0.0,      0.0,      0.5,     0.42,     20.0,     0.28,      5.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024010209,   1019.0,   1021.3,     19.1,     13.7,       71,      2.6,    240.0,      4.9,    240.0,      0.0,      0.0,      1.0,     1.25,     20.0,     1.25,      2.0,     16.6,     16.7,     17.4,     18.0,     19.4,     20.7,     22.4
466990, 2024010210,   1018.6,   1020.9,     21.0,     13.0,       60,      1.1,    230.0,      3.8,    220.0,      0.0,      0.0,      1.0,     1.97,     None,     2.88,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024010211,   1017.8,   1020.1,     21.6,     13.3,       59,      1.6,    110.0,      3.4,    150.0,      0.0,      0.0,      1.0,     2.46,     18.0,     4.59,      3.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024010212,   1016.4,   1018.6,     22.1,     12.9,       56,      2.6,    110.0,      3.8,    130.0,      0.0,      0.0,      1.0,     2.76,     None,     5.71,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024010213,   1015.3,   1017.5,     22.8,     13.6,       56,      2.5,    100.0,      4.5,    130.0,      0.0,      0.0,      1.0,     2.73,     None,     5.69,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024010214,   1014.7,   1016.9,     22.3,     14.2,       60,      3.0,    110.0,      5.1,    110.0,      0.0,      0.0,      0.8,     2.18,     18.0,     4.33,      6.0,     20.6,     19.8,     19.7,     18.9,     19.5,     20.5,     22.4
466990, 2024010215,   1014.4,   1016.6,     21.6,     13.8,       61,      1.4,    140.0,      3.7,    120.0,      0.0,      0.0,      0.0,     0.76,     None,     1.98,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024010216,   1014.6,   1016.8,     21.7,     13.9,       61,      0.5,    210.0,      2.7,    180.0,      0.0,      0.0,      0.0,     0.42,     None,     0.81,     None,     None,     None,     None,     None,     None,     None,     None
