﻿"* MH (Multifield Hourly Data Format)"
"* 以 '*' 字元開頭的文字為格式說明"
"* 以 '#' 字元開頭的文字為氣象資料欄位標題列7個字元一組"
********************************************************************************
"* 格式說明:"
"* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位"
"* 1~6        8~17              第18個字元開始每個氣象要素(欄位)7個字元"
"* 時間為當地時間(LocalTime)"
"* yyyy:西元年"
"* mm:月"
"* dd:日"
"* hh:時"
********************************************************************************
"* 欄位標題說明:"
"* CD01 高雲高度(km)"
"* CD02 中雲高度(km)"
"* CD03 低雲高度(km)"
"* CD04 高雲量(10分量)"
"* CD05 中雲量(10分量)"
"* CD06 低雲量(10分量)"
"* CD07 高雲狀"
"* CD08 中雲狀"
"* CD09 低雲狀"
"* CD10 雲冪高(km)"
"* CD11 總雲量(10分量)"
"* EP05 A型蒸發量(mm)"
"* GR01 全天空日射量(MJ/㎡)"
"* PP01 降水量(mm)"
"* PP02 降水時數(hour)"
"* PS01 測站氣壓(hPa)"
"* PS02 海平面氣壓(hPa)"
"* PS11 氣壓趨勢"
"* RH01 相對溼度(%)"
"* SS01 日照時數(hour)"
"* ST01 天空狀況"
"* ST02 地面狀況"
"* ST03 雷暴"
"* ST04 液態降水1"
"* ST05 液態降水2"
"* ST06 固態降水1"
"* ST07 固態降水2"
"* ST08 固態降水3"
"* ST09 視障1"
"* ST10 視障2"
"* ST11 光象1"
"* ST12 光象2"
"* TD01 露點溫度(℃)"
"* TS01 地表溫度0cm(℃)"
"* TS02 地中溫度5cm(℃)"
"* TS03 地中溫度10cm(℃)"
"* TS04 地中溫度20cm(℃)"
"* TS05 地中溫度30cm(℃)"
"* TS06 地中溫度50cm(℃)"
"* TS07 地中溫度100cm(℃)"
"* TW01 溼球溫度(℃)"
"* TX01 氣溫(℃)"
"* TX02 絕對最高氣溫(℃)"
"* TX04 絕對最低氣溫(℃)"
"* VP01 水氣壓(hPa)"
"* VP06 飽和水氣壓(hPa)"
"* VS01 能見度(km)"
"* WD01 平均風風速(m/s)"
"* WD02 平均風風向(360 degree)"
"* WD04 最大平均風風速(m/s)"
"* WD05 最大平均風風向(360 degree)"
"* WD07 最大瞬間風風速(m/s)"
"* WD08 最大瞬間風風向(360 degree)"
"* UV01 紫外線指數"
********************************************************************************
"* 特殊值:"
"* -999.1:儀器故障待修"
"* -9.6/-999.6:資料累計於後"
"* -9.5/-99.5/-999.5/-999.5/-9999.5:因故障而無資料"
"* -9.7/-99.7/-999.7/-999.7/-9999.7:因不明原因而無資料"
"* -9.8:雨跡(Trace)"
"* None:未觀測而無資料"
********************************************************************************
# stno, yyyymmddhh,     PS01,     PS02,     TX01,     TD01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01,     PP02,     SS01,     GR01,     VS01,     UV01,     CD11,     TS01,     TS02,     TS03,     TS04,     TS05,     TS06,     TS07
466990, 2024110101,    996.3,    998.5,     25.3,     24.1,       93,     10.0,    200.0,     29.0,    180.0,      6.5,      1.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110102,    996.9,    999.1,     24.8,     23.8,       94,      3.4,    190.0,     19.0,    190.0,      8.0,      0.8,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110103,    997.4,    999.6,     24.7,     23.7,       94,      2.7,    220.0,      6.5,    180.0,     -9.8,      0.1,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110104,    997.8,   1000.0,     24.5,     23.6,       95,      3.3,    240.0,      5.0,    240.0,      0.5,      0.4,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110105,    998.4,   1000.6,     24.3,     23.4,       95,      3.6,    230.0,      5.8,    230.0,     -9.8,      0.3,     None,      0.0,     None,      0.0,     None,     24.0,     23.8,     24.0,     24.0,     24.7,     25.6,     26.4
466990, 2024110106,    999.5,   1001.7,     24.4,     23.4,       94,      6.1,    220.0,     10.0,    210.0,     -9.8,      0.8,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110107,   1000.7,   1002.9,     24.3,     23.4,       95,      4.2,    220.0,      9.0,    220.0,      1.5,      1.0,      0.0,     0.04,     None,     0.03,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110108,   1001.7,   1003.9,     24.7,     23.8,       95,      4.3,    200.0,      6.6,    220.0,     -9.8,      0.8,      0.0,      0.2,     20.0,     0.36,     10.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024110109,   1002.5,   1004.7,     25.9,     24.5,       92,      4.0,    210.0,      6.8,    190.0,      0.5,      0.2,      0.0,     0.77,     20.0,     1.64,     10.0,     24.5,     24.0,     24.0,     23.9,     24.6,     25.6,     26.4
466990, 2024110110,   1003.1,   1005.3,     26.4,     24.6,       90,      3.6,    210.0,      7.6,    210.0,     -9.8,      0.1,      0.0,     0.74,     None,     2.22,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110111,   1003.0,   1005.2,     28.8,     25.0,       80,      2.5,    220.0,      6.5,    200.0,      0.0,      0.0,      0.1,     1.49,     20.0,     4.71,      9.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024110112,   1002.8,   1005.0,     29.6,     24.0,       72,      4.8,    160.0,      6.5,    160.0,      0.0,      0.0,      0.9,     2.65,     None,     7.74,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110113,   1002.6,   1004.8,     29.1,     24.7,       77,      3.9,    170.0,      6.0,    160.0,      0.0,      0.0,      0.8,     2.16,     None,      6.4,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110114,   1002.5,   1004.7,     28.5,     24.1,       77,      4.0,    180.0,      6.7,    180.0,      0.0,      0.0,      0.6,     1.72,     20.0,      4.6,      9.0,     28.4,     27.6,     27.0,     25.0,     25.0,     25.6,     26.4
466990, 2024110115,   1002.7,   1004.9,     28.3,     24.3,       79,      3.8,    190.0,      7.5,    180.0,      0.0,      0.0,      0.0,      0.9,     None,     2.08,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110116,   1003.4,   1005.6,     28.4,     24.4,       79,      1.7,    170.0,      7.6,    190.0,      0.0,      0.0,      0.6,     0.81,     None,     1.09,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110117,   1004.5,   1006.7,     27.9,     24.6,       82,      5.1,     20.0,     10.3,     20.0,      0.0,      0.0,      0.1,     0.23,     20.0,     0.19,      7.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024110118,   1005.2,   1007.4,     27.2,     24.3,       84,      5.9,     10.0,     10.4,    250.0,      0.0,      0.0,      0.0,     0.01,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110119,   1006.3,   1008.5,     26.8,     24.1,       85,      7.0,     10.0,     13.6,    280.0,      0.0,      0.0,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110120,   1007.5,   1009.7,     26.4,     24.3,       88,      5.8,     20.0,     13.9,     20.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110121,   1008.3,   1010.5,     26.2,     24.4,       90,      7.2,     20.0,     12.4,     10.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     25.4,     25.6,     25.9,     25.9,     26.1,     26.2,     26.4
466990, 2024110122,   1009.4,   1011.6,     26.0,     24.2,       90,      6.1,     30.0,     11.7,     30.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110123,   1009.9,   1012.1,     25.8,     23.9,       89,      6.4,     30.0,     11.5,     20.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110124,   1010.2,   1012.4,     25.8,     23.7,       88,      5.1,     20.0,     10.8,     30.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110201,   1010.7,   1012.9,     25.9,     23.4,       86,      4.6,     20.0,      9.9,     30.0,     -9.8,      0.1,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110202,   1010.8,   1013.0,     25.3,     23.4,       89,      3.4,     10.0,      7.7,     20.0,     -9.8,      0.5,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110203,   1011.0,   1013.2,     25.3,     23.5,       90,      2.4,    360.0,      5.8,    360.0,     -9.8,      0.1,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110204,   1011.4,   1013.6,     24.9,     23.0,       89,      0.4,     10.0,      4.8,    320.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110205,   1012.3,   1014.5,     24.9,     23.2,       90,      1.0,    310.0,      2.3,    330.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     24.6,     24.6,     24.8,     25.0,     25.7,     26.3,     26.5
466990, 2024110206,   1013.5,   1015.7,     24.5,     23.1,       92,      2.5,    350.0,      4.5,    340.0,      0.5,      0.7,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110207,   1014.7,   1016.9,     23.5,     22.1,       92,      3.4,     30.0,      7.5,     30.0,      1.0,      1.0,      0.0,     0.03,     None,     0.02,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024110208,   1015.9,   1018.1,     23.0,     21.6,       92,      3.3,    340.0,      6.7,    350.0,     -9.8,      0.8,      0.0,     0.13,     10.0,     0.26,     10.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024110209,   1016.8,   1019.0,     23.2,     21.7,       91,      3.2,    350.0,      6.9,    350.0,      0.5,      0.4,      0.0,     0.36,     15.0,     0.94,     10.0,     23.9,     24.1,     24.4,     24.7,     25.5,     26.3,     26.5
466990, 2024110210,   1016.6,   1018.8,     23.4,     21.3,       88,      3.4,    350.0,      6.9,    360.0,      0.0,      0.0,      0.0,     0.57,     None,     1.89,     None,     None,     None,     None,     None,     None,     None,     None
