﻿"* MH (Multifield Hourly Data Format)"
********************************************************************************
"* Users Information:"
"* (column:1~6)stno: station number (8~17)yyyymmddhh: date of record (18~24): observation data"
"* all observation uses local time=UTC+08:00"
"* yyyy: year"
"* mm: month"
"* dd: day"
"* hh: hour"
********************************************************************************
"* CD01 High Cloud Height(Km)"
"* CD02 Medium Cloud Height(Km)"
"* CD03 Low Cloud Height(Km)"
"* CD04 High Cloud Amount(0-10)"
"* CD05 Medium Cloud Amount(0-10)"
"* CD06 Low Cloud Amount(0-10)"
"* CD07 High Cloud Form"
"* CD08 Medium Cloud Form"
"* CD09 Low Cloud Form"
"* CD10 Ceiling(Km)"
"* CD11 Total Cloud Amount(0-10)"
"* EP03 Class A Pan Evaporation(mm)"
"* PP01 Precipitation(mm)"
"* PP02 Precipitation Hours(hr)"
"* PS01 Station Pressure(hPa)"
"* PS02 Sea Level Pressure(hPa)"
"* RH01 Relative Humidity(%)"
"* RH02 Vapor Pressure(hPa)"
"* ST01 State of the Sky"
"* ST02 State of the Ground"
"* ST03 Thunderstorm"
"* ST04 Liquid Precipitation Type 1"
"* ST05 Liquid Precipitation Type 2"
"* ST06 Solid Precipitation Type 1"
"* ST07 Solid Precipitation Type 2"
"* ST08 Solid Precipitation Type 3"
"* ST09 Obscuration Type 1"
"* ST10 Obscuration Type 2"
"* ST11 Photometeors Type 1"
"* ST12 Photometeors Type 2"
"* SS01 Sunshine Duration(hr)"
"* SS02 Global Solar Radiation(MJ/㎡)"
"* SS03 Net Radiation(MJ/㎡)"
"* TS01 Surface Temperature(℃)"
"* TS02 Temperature at Depth of 5cm(℃)"
"* TS03 Temperature at Depth of 10cm(℃)"
"* TS04 Temperature at Depth of 20cm(℃)"
"* TS05 Temperature at Depth of 30cm(℃)"
"* TS06 Temperature at Depth of 50cm(℃)"
"* TS07 Temperature at Depth of 100cm(℃)"
"* TX01 Temperature(℃)"
"* TX02 Absolute Maximum Temperature(℃)"
"* TX03 Absolute Minimum Temperature(℃)"
"* TX04 Wet Bulb Temperature(℃)"
"* TX05 Dew Point Temperature(℃)"
"* VS01 Visibility(Km)"
"* WD01 Wind Speed(m/s)"
"* WD02 Wind Direction(360 degree)"
"* WD03 Maximum Wind Speed(m/s)"
"* WD04 Maximum Wind Direction(360 degree)"
"* WD05 Gust(m/s)"
"* WD06 Gust Direction(360 degree)"
********************************************************************************
"* special code of record:"
"* -9991: instrument malfunction"
"* -9996: data aggregated later"
"* -9997: data unavailable/failure for unknown reason"
"* -9998: Trace"
"* -9999: no observation"
********************************************************************************
# stno, yyyymmddhh,     PS01,     TX01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01
C0Z100, 2024040101,   1007.5,     23.1,       97,      0.8,    249.0,      3.9,    216.0,      0.0
C0Z100, 2024040102,   1007.1,     22.8,       95,      0.4,    259.0,      3.2,    284.0,      0.0
C0Z100, 2024040103,   1007.0,     22.8,       97,      0.1,      0.0,      1.3,    109.0,      0.0
C0Z100, 2024040104,   1007.6,     22.7,       98,      0.0,      0.0,      0.4,    139.0,      0.0
C0Z100, 2024040105,   1009.3,     20.1,       96,      0.3,    352.0,      4.8,     19.0,      1.0
C0Z100, 2024040106,   1010.5,     19.5,       98,      0.0,      0.0,      2.3,    355.0,      1.5
C0Z100, 2024040107,   1011.3,     20.0,       99,      0.0,      0.0,      0.5,    297.0,      0.0
C0Z100, 2024040108,   1012.0,     20.2,      100,      0.4,    247.0,      1.1,    247.0,      0.5
C0Z100, 2024040109,   1012.2,     20.8,       99,      0.4,    221.0,      1.8,    236.0,      0.0
C0Z100, 2024040110,   1011.8,     24.5,       80,      0.8,    205.0,      2.6,    297.0,      0.0
C0Z100, 2024040111,   1011.5,     26.0,       59,      0.6,    213.0,      2.6,    219.0,      0.0
C0Z100, 2024040112,   1010.6,     27.3,       59,      0.4,    356.0,      1.6,    228.0,      0.0
C0Z100, 2024040113,   1009.8,     27.0,       63,      0.7,     83.0,      2.8,     71.0,      0.0
C0Z100, 2024040114,   1008.9,     27.6,       59,      0.6,     27.0,      2.6,     68.0,      0.0
C0Z100, 2024040115,   1008.4,     27.0,       66,      0.6,     54.0,      3.1,     36.0,      0.0
C0Z100, 2024040116,   1008.1,     26.2,       66,      0.8,     51.0,      3.1,     66.0,      0.0
C0Z100, 2024040117,   1008.6,     24.8,       75,      0.3,     39.0,      2.4,     15.0,      0.0
C0Z100, 2024040118,   1008.5,     23.5,       82,      0.0,      0.0,      2.1,     68.0,      0.0
C0Z100, 2024040119,   1008.8,     22.4,       90,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024040120,   1009.6,     22.1,       92,      0.0,      0.0,      0.4,    354.0,      0.0
C0Z100, 2024040121,   1010.2,     22.1,       93,      0.0,      0.0,      0.6,      5.0,      0.0
C0Z100, 2024040122,   1009.5,     21.8,       93,      0.1,      0.0,      1.0,    217.0,      0.0
C0Z100, 2024040123,   1008.6,     20.7,       96,      0.0,      0.0,      1.2,    250.0,      0.0
C0Z100, 2024040124,   1008.1,     20.1,       98,      0.0,      0.0,      0.0,      0.0,      0.0
C0Z100, 2024040201,   1007.6,     19.6,       99,      0.0,      0.0,      0.5,    266.0,      0.0
C0Z100, 2024040202,   1007.0,     19.1,      100,      0.0,      0.0,      0.4,    263.0,      0.0
